Bin #,MinTemp,MaxTemp,Mean Temperature,Frequency,OrbitalRadius,StarMass,PlanetRadius,StarRadius,TransitTime,TransitDepth,OrbitalPeriod
72.0,9795.0,9896.0,9845.162393162393,128.0,1017200069538.0,5.438008691498675e+30,7363836.0,1449389725.0,153509.58542200955,2.581296301481164e-05,3413577482.8018837
73.0,9896.0,9999.0,9960.048484848485,167.0,852809344503.0,5.533403439666875e+30,11460043.0,1468152625.0,141145.8430300344,6.092984628101493e-05,2378617908.617721
74.0,9999.0,10178.0,10082.09090909091,102.0,739778171176.0,5.666249786588075e+30,7278556.0,1494089574.9999998,132204.61400100947,2.3732155458485033e-05,1768773073.3529093
75.0,10178.0,10337.0,10255.546391752578,101.0,799349553040.0,5.826971063051876e+30,8157414.0,1525177125.0,138335.70866750524,2.860648133501641e-05,2036427689.8871975
76.0,10337.0,10514.0,10430.576470588236,102.0,1111773721595.0,5.988355940764675e+30,11178401.0,1556080725.0,164192.60794794752,5.160539699908618e-05,3885938808.0834327
77.0,10514.0,10634.0,10567.242424242424,115.0,923768852413.0,6.1323490312012e+30,9249055.0,1583397300.0,150496.08535952412,3.4120463644076316e-05,2651124651.3603587
78.0,10634.0,10747.0,10693.684210526315,106.0,785590640570.0,6.246193751102675e+30,6606517.0,1604827474.9999998,139375.31253220933,1.694682761579304e-05,1899773507.036194
79.0,10747.0,10851.0,10790.791208791208,121.0,1044870925969.0,6.352917020598701e+30,3743451.0,1624786050.0,161364.49807291303,5.3082570136156594e-06,3332388674.4833097
80.0,10851.0,10951.0,10910.12389380531,247.0,1245257128155.0,6.4538590551787e+30,3972374.0,1643548949.9999998,176794.80598532056,5.841642494619599e-06,4695969698.531256
81.0,10951.0,11053.0,10996.644444444444,242.0,789997981157.0,6.5543961808748e+30,8214763.0,1662127900.0,141311.71414892844,2.442649746916887e-05,1875437388.9359105
82.0,11053.0,11153.0,11083.557620817845,287.0,1701912191654.0,6.6555151450883e+30,7007223.0,1680706850.0,208131.00700223073,1.7382327869922012e-05,8637745661.814226
83.0,11153.0,11357.0,11263.0,146.0,1392640352096.0,6.808790895467499e+30,6774392.0,1708667249.9999998,189238.31096114288,1.5719026863723478e-05,5718207392.31466
84.0,11357.0,11457.0,11372.914285714285,146.0,1025580158306.0,6.9633844379363e+30,9193341.0,1736627649.9999998,163210.61785736502,2.8024205935271868e-05,3066521296.964037
85.0,11457.0,12217.0,11624.788888888888,102.0,1760938262471.0,7.4078585229403e+30,5639548.0,1815726150.0,216791.95027029747,9.646902701051985e-06,8765140296.179512
